"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B09X2XDRSH","B09X2XDRSH","David's Home 100% Viscose Made from Bamboo Cooling Fitted Sheet, 16"" Deep Pocket for Hot Sleeper, Silky Soft Breathable Cozy for All Seasons, 1 Piece Silky Bottom Sheet Only, Black, King Size","David's Home","FBA","Home & Kitchen",304746,"Fitted Sheets",36.99,4,124,105,4586.76,266,4.2,"David's Home",1,"N/A","N/A","Large Standard-Size",3.58,7.68,9.61,2.71,105.5,366.97,"07/01/2023",18,6,14,0.47
"https://amazon.com/dp/B0B6CK1RKT","B0B6CK1RKT","CH230 2-Pole 30-Amp Circuit Breaker, Type CH 3/4-Inch Plug-On Molded Case Circuit Breaker, Thermal Magnetic Protection, 10 KAIC, 120/240V, Fit for Cutler Hammer Load Centers (5 Years Warranty)…","Fxsmgdy","FBA","Tools & Home Improvement",28589,"Magnetic Circuit Breakers",21.99,-13,436,20643,9587.64,263,4.1,"US Circuit breaker",1,"N/A","N/A","Large Standard-Size",1.85,3.5,3.58,0.6,9.28,32.26,"02/01/2024",18,6,5,1.66
"https://amazon.com/dp/B09Z1574HW","B09Z1574HW","HERITAGE LIVING Storage Bin with Bamboo Lid, Decorative Stackable Basket Table Bookcase Kitchen Office Organizing, Multipurpose Basket Organizer Bin (SMALL, CLEAR)","HERITAGE LIVING","FBA","Home & Kitchen",158409,"Storage & Organization",35.86,"N/A",262,46,9400.56,262,4.2,"GoodSprings",1,4363,"N/A","Large Standard-Size",5.71,8.43,12.8,1.81,246.02,855.74,"01/01/2023",21,6,38,1
"https://amazon.com/dp/B0B1J4RM8Q","B0B1J4RM8Q","Cat Shelves Cat Wall Shelf and Cat Ladder of 4 Level, Cat Houses Condos for Activity Indoor Cats Furniture Wall Mounted Cat Wall Steps Set with Hexagon Nest Perches 2 PCS Set","Yehnna","FBA","Pet Supplies",22674,"Trees",47.99,"N/A",160,,7678.4,409,4.2,"Yehnna",1,"N/A","N/A","Large Standard-Size",4.75,13.5,17.25,9.25,441.69,1536.33,"02/01/2024",19,5,6,0.39
"https://amazon.com/dp/B0BR5HCL36","B0BR5HCL36","SETWIER Full Rainbow Butterfly Duvet Cover Set Pink Flower Duvet Cover for Kids Bedding Set Ultra Soft Breathable Kids Boys Girls Teens Comforter Cover 3Pcs with 2 Pillowcase","SW SETWIER","FBA","Home & Kitchen",264515,"Duvet Cover Sets",39.99,"N/A",102,-33,4078.98,73,3.8,"Witsell",2,"N/A","N/A","Large Standard-Size",2.99,8.31,10.87,2.34,107.85,375.12,"07/01/2023",7,9,200,1.4
"https://amazon.com/dp/B0BP32R3SM","B0BP32R3SM","Architectural Mailboxes Windsor Plastic Wall Mount Mailbox, WMH00WAM, White, Small Capacity","ARCHITECTURAL MAILBOXES","FBM","Tools & Home Improvement",47780,"Wall-Mount Mailboxes",25.79,3,222,,5725.38,52,4.2,"CloseOutDeals23",6,"N/A","N/A","Large Standard-Size",5.59,8.94,15.79,1.96,"N/A","N/A","12/01/2023",5,4,2,4.27
"https://amazon.com/dp/B0C6YG3T5M","B0C6YG3T5M","Nordic Ware Naturals Two Half Sheets with Lid Set, 3-Pieces","Nordic Ware","Amazon","Kitchen & Dining",30024,"Baking & Cookie Sheets",29.99,"N/A",374,-52,11216.26,47,4.2,"Amazon",2,"N/A","N/A","Small Oversize",3,13.25,18.25,4.2,"N/A","N/A","12/01/2023",8,11,0,8.5
"https://amazon.com/dp/B0BWXYSKLY","B0BWXYSKLY","EZ Moms 2 Packs Baby Reusable Swim Diapers Soft and Silky Toddler Swim Diaper Washable Baby Swim Diaper 6M Water Diapers Infant Swim Diaper Waterproof Diapers for Swimming Boys and Girls","EZ Moms","FBA","Baby Products",6108,"Cloth Diapers",16.99,"N/A",561,780,9531.39,35,3.8,"EZ Moms",1,"N/A","N/A","Large Standard-Size",1.65,5.71,6.69,0.19,25.23,87.75,"01/01/2024",5,6,20,17.53
"https://amazon.com/dp/B0C7HNBP9B","B0C7HNBP9B","ETTA SAYS! Sit Peanut Butter Training Treats for Dogs 16 Ounce Soft Dog Treats – Made in The USA Dog Treats, Limited Ingredients, Low Calorie, No Gelatin, Wheat, Corn or Soy","ETTA SAYS!","FBA","Pet Supplies",23428,"Cookies, Biscuits & Snacks",17.99,"N/A",341,52,6134.59,29,4.1,"Tru Inertia",2,"N/A","N/A","Large Standard-Size",1.85,7.24,10.2,1.04,54.58,189.84,"01/01/2024",6,5,3,11.76
"https://amazon.com/dp/B0C372STB2","B0C372STB2","Fumete 2 Pcs Decorative Pillows 14 x 14 Inch Throw Knot Pillow for Couch Bedroom Soft Plush Sofa Pillow Ball Handmade Chair Cushion for Living Room Car Decorations (Pink)","Fumete","FBA","Home & Kitchen",48920,"Throw Pillows",34.99,"N/A",222,47,7767.78,139,4.2,"QiaooUKpcco",1,"N/A","N/A","Large Standard-Size",5.79,9.57,11.85,2.93,262.19,911.96,"08/01/2023",8,6,9,1.6
"https://amazon.com/dp/B0C5MLWJYJ","B0C5MLWJYJ","HUISEFOR Blue Flower Stand Mixer Cover Home Kitchen Washable Appliance Cover, Kitchen Decorations Universal Dust Proof Mixers Protector with Top Handle and Pockets","HUISEFOR","FBA","Home & Kitchen",100137,"Mixer Parts & Accessories",16.99,"N/A",269,11,4570.31,97,4.2,"HUISEFOR",2,"N/A","N/A","Small Standard-Size",4,4,0.4,0.2,2.56,8.89,"11/01/2023",7,7,156,2.77
"https://amazon.com/dp/B0BL8MHFCF","B0BL8MHFCF","KwikSafety - Charlotte, NC - GODMOTHER Class 2 Safety Vest for Women - 5 POCKETS - ANSI Tested OSHA Compliant Reflective Work Gear PPE/Orange Medium","KwikSafety","FBA","Tools & Home Improvement",47261,"Vests",44.96,"N/A",172,47,7733.12,16,3.6,"KwikSafety",1,"N/A","N/A","Large Standard-Size",2.6,10.87,12.13,1.2,136.71,475.52,"10/01/2023",7,9,74,10.75
"https://amazon.com/dp/B0BCDJTQWQ","B0BCDJTQWQ","LazBlinds No Tools No Drill Cordless Dual Layer Zebra Roller Blinds, Light Filtering Sheer Shades Horizontal Window Blinds for Windows Size 30'' W x 72'' H, Cream","LazBlinds","FBA","Home & Kitchen",149115,"Roller Shades",27.93,"N/A",181,291,5055.33,61,4.2,"MMayer Store",1,1995,"N/A","Small Oversize",2.1,2.6,33.2,2.6,50.35,125.88,"07/01/2023",7,8,160,2.97
"https://amazon.com/dp/B0C8SBQ6JC","B0C8SBQ6JC","BedStory Pillows for Sleeping,Standard Pillows Set of 2,Cooling Pillows with Mesh Design,Premium Soft Down Alternative Fill Supportive for Back, Stomach or Side Sleepers","BedStory","Amazon","Home & Kitchen",127961,"Bed Pillows",27.55,-9,409,684,11267.95,389,4.1,"Amazon",1,"N/A","N/A","Large Standard-Size",6,11,16,5.6,"N/A","N/A","08/01/2023",7,8,5,1.07
"https://amazon.com/dp/B0C2CHKM9G","B0C2CHKM9G","15 Pcs Henoyso Poster Protector Sleeve 11x17 Inch Clear Rigid Print Plastic Protectors Sheet Heavy Duty Crystal Frame Holder for Magazine Photo Paper Poster Prints","Henoyso","FBA","Office Products",31479,"Sheet Protectors, Card & Photo Sleeves",29.99,-7,275,15,8247.25,37,4.2,"Tiimmeen",1,"N/A","N/A","Large Standard-Size",1,12,18,4.75,86.25,300,"10/01/2023",3,6,6,7.43
