"Keyword Phrase","Keyword Sales","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"mens satchel bag crossbody",81,77,612,-25,0.54,0.38,0.7,0,">8,000",10,1,1,1,0,,
"leather computer bag",20,76,611,-10,0.59,0.45,0.91,0,">8,000",10,1,0,1,1,,
"womens messenger bag crossbody",43,75,678,0,0.36,0.28,0.46,0,">9,000",10,1,0,0,0,,
"sling bag women",53,74,735,12,0.61,0.45,0.72,0,">10,000",11,0,0,1,0,,
"mens tote bag",52,72,"2,168",5,0.46,0.28,0.67,0,">30,000",27,0,0,1,0,,
"bag for men",264,69,"3,465",-9,0.54,0.4,0.76,0,">50,000",32,1,0,0,11,,
"cute work bag",45,68,680,24,0.48,0.41,0.75,0,">10,000",10,0,0,1,0,,
"waterproof laptop bag",45,68,611,12,0.72,0.67,0.91,0,">9,000",10,0,0,1,1,,
"men's work bag",56,68,678,-17,0.72,0.59,1.02,0,">10,000",10,1,0,0,0,,
"hand bag for man",75,68,678,-2,0.4,0.29,0.49,0,">10,000",10,1,0,0,0,,
"cell phone crossbody",90,68,678,-4,0.45,0.34,0.54,0,">10,000",10,0,0,1,1,,
"laptop work bag",44,68,678,5,0.74,0.54,1.01,0,">10,000",10,0,0,1,0,,
"laptop shoulder bag for men",57,68,678,5,0.75,0.5,0.93,0,">10,000",10,1,0,0,0,,
"computer bags for men",19,68,678,-14,0.8,0.64,1.11,0,">10,000",10,1,0,0,0,,
"man purse cross body",49,67,667,-43,0.45,0.36,0.61,0,">10,000",10,0,0,1,0,,
"small crossbody bag",241,66,"3,932",-7,0.4,0.28,0.55,0,">60,000",30,0,0,1,4,,
"tote bag men",99,66,"1,310",-12,0.45,0.3,0.65,0,">20,000",26,0,0,1,0,,
"large laptop bag",103,65,"1,300",9,0.68,0.54,0.95,0,">20,000",26,0,0,1,1,,
"large sling bag",106,65,"1,298",-7,0.43,0.31,0.51,0,">20,000",27,0,0,1,3,,
"small messenger bag for women",61,65,"1,298",-6,0.45,0.35,0.56,0,">20,000",26,1,0,0,0,,
"lap top bag",108,61,"1,228",-6,0.53,0.46,0.85,0,">20,000",26,0,0,1,0,,
"mini crossbody purse",44,61,612,-39,0.43,0.28,0.5,0,">10,000",10,0,0,1,2,,
"men laptop bag",14,61,611,-14,0.84,0.57,1.04,0,">10,000",10,1,0,0,2,,
